total_charges,contract_month_to_month,contract_two_year,monthly_charges,device_protection,tenure
2935.35,0.0,1.0,88.95,0,33
2107.35,1.0,0.0,78.05,1,27
1695.6000000000001,0.0,1.0,23.55,0,72
19.75,1.0,0.0,19.75,0,1
4007.9500000000003,0.0,0.0,56.45,0,71
1117.3500000000001,1.0,0.0,85.95,0,13
1465.0,1.0,0.0,58.6,1,25
3386.85,0.0,1.0,50.55,0,67
35.45,1.0,0.0,35.45,0,1
88.7,1.0,0.0,44.35,0,2
1105.1,0.0,1.0,25.7,0,43
1725.0,1.0,0.0,75.0,0,23
1292.8,0.0,1.0,20.2,0,64
1117.2,0.0,1.0,19.6,0,57
70.45,1.0,0.0,70.45,0,1
6339.599999999999,0.0,1.0,88.05,1,72
569.2,1.0,0.0,71.15,0,8
6164.05,0.0,1.0,101.05,0,61
5395.2,0.0,0.0,84.3,0,64
1700.45,0.0,1.0,23.95,0,71
6438.25,0.0,1.0,99.05,0,65
58.800000000000004,0.0,0.0,19.6,0,3
45.65,1.0,0.0,45.65,0,1
1935.0,0.0,0.0,64.5,1,30
1042.5,1.0,0.0,69.5,1,15
548.4,1.0,0.0,68.55,0,8
665.0,1.0,0.0,95.0,0,7
7570.5,0.0,0.0,108.15,1,70
5338.2,0.0,1.0,86.1,1,62
118.19999999999999,1.0,0.0,19.7,0,6
1132.6000000000001,1.0,0.0,80.9,0,14
1851.3000000000002,1.0,0.0,84.15,0,22
443.29999999999995,0.0,0.0,20.15,0,22
1028.0,0.0,1.0,64.25,1,16
257.0,0.0,1.0,25.7,0,10
728.0,1.0,0.0,56.0,0,13
1648.0,1.0,0.0,82.4,0,20
139.4,1.0,0.0,69.7,0,2
3916.7000000000003,0.0,1.0,73.9,1,53
226.60000000000002,0.0,0.0,20.6,0,11
1373.1,0.0,1.0,19.9,0,69
283.6,1.0,0.0,70.9,0,4
6411.599999999999,0.0,1.0,89.05,1,72
2627.3999999999996,1.0,0.0,45.3,1,58
326.4,1.0,0.0,20.4,0,16
3622.75,0.0,0.0,84.25,1,43
208.8,1.0,0.0,104.4,1,2
1147.3,0.0,1.0,81.95,1,14
5027.049999999999,0.0,0.0,94.85,1,53
657.6,0.0,0.0,20.55,0,32
839.8,1.0,0.0,24.7,0,34
1116.75,1.0,0.0,74.45,0,15
535.15,1.0,0.0,76.45,0,7
1580.25,1.0,0.0,105.35,1,15
1253.55,0.0,0.0,20.55,0,61
29.95,1.0,0.0,29.95,0,1
45.3,1.0,0.0,45.3,0,1
676.0,1.0,0.0,84.5,0,8
2466.75,0.0,0.0,74.75,1,33
1030.25,1.0,0.0,79.25,1,13
24.8,1.0,0.0,24.8,0,1
1036.0,1.0,0.0,51.8,0,20
91.19999999999999,1.0,0.0,30.4,0,3
255.45,0.0,0.0,19.65,0,13
2264.0,1.0,0.0,56.6,0,40
3091.7000000000003,0.0,0.0,71.9,0,43
546.0,1.0,0.0,91.0,1,6
1362.75,0.0,1.0,19.75,0,69
7898.400000000001,0.0,1.0,109.7,1,72
1138.7,0.0,1.0,19.3,0,59
1931.0,1.0,0.0,96.55,0,20
578.4000000000001,0.0,1.0,24.1,0,24
6569.65,1.0,0.0,111.35,1,59
8082.0,0.0,1.0,112.25,1,72
20.75,1.0,0.0,20.75,0,1
2751.3,0.0,0.0,101.9,0,27
1120.7,1.0,0.0,80.05,0,14
7494.05,0.0,1.0,105.55,1,71
1017.9,1.0,0.0,78.3,0,13
3029.3999999999996,1.0,0.0,68.85,0,44
2638.35,0.0,0.0,79.95,0,33
3992.4,0.0,1.0,55.45,1,72
79.9,1.0,0.0,79.9,0,1
2025.3999999999999,1.0,0.0,106.6,1,19
6556.8,0.0,0.0,102.45,1,64
92.0,1.0,0.0,46.0,0,2
25.25,1.0,0.0,25.25,0,1
1204.75,0.0,1.0,19.75,0,61
580.0,0.0,0.0,20.0,0,29
1996.3999999999999,1.0,0.0,86.8,0,23
3348.75,1.0,0.0,58.75,1,57
3258.0,0.0,1.0,45.25,1,72
3735.6,0.0,1.0,56.6,1,66
5473.0,0.0,1.0,84.2,1,65
640.0,1.0,0.0,80.0,0,8
280.6,1.0,0.0,70.15,0,4
1757.25,0.0,1.0,24.75,0,71
20.2,0.0,0.0,20.2,0,1
200.2,1.0,0.0,50.05,0,4
232.20000000000002,0.0,0.0,19.35,0,12
1214.4,0.0,0.0,50.6,0,24
2515.65,0.0,0.0,81.15,1,31
55.2,1.0,0.0,55.2,0,1
2697.0,1.0,0.0,89.9,0,30
4009.1,0.0,1.0,85.3,0,47
5832.0,0.0,1.0,108.0,0,54
4675.0,1.0,0.0,93.5,0,50
84.6,1.0,0.0,84.6,0,1
1458.0,0.0,1.0,20.25,0,72
729.3499999999999,1.0,0.0,25.15,0,29
108.8,1.0,0.0,54.4,0,2
296.0,0.0,1.0,29.6,0,10
1316.7,1.0,0.0,73.15,0,18
1045.0,1.0,0.0,95.0,0,11
316.0,0.0,1.0,19.75,0,16
6235.2,0.0,1.0,86.6,1,72
7862.400000000001,0.0,1.0,109.2,1,72
3062.7000000000003,0.0,0.0,74.7,0,41
6136.0,1.0,0.0,94.4,1,65
712.4,1.0,0.0,54.8,1,13
301.4,1.0,0.0,75.35,0,4
2665.0,0.0,0.0,65.0,1,41
1116.0,1.0,0.0,74.4,0,15
48.55,1.0,0.0,48.55,0,1
4158.0,0.0,0.0,99.0,1,42
4768.5,0.0,0.0,93.5,1,51
140.8,1.0,0.0,70.4,0,2
40.2,1.0,0.0,40.2,0,1
2678.4,0.0,0.0,83.7,1,32
198.5,1.0,0.0,19.85,0,10
3989.85,0.0,1.0,59.55,1,67
7021.099999999999,0.0,1.0,115.1,1,61
5717.5,0.0,0.0,114.35,1,50
89.2,1.0,0.0,44.6,0,2
1305.0,1.0,0.0,45.0,1,29
123.44999999999999,1.0,0.0,41.15,1,3
1389.7,1.0,0.0,106.9,1,13
5121.45,1.0,0.0,89.85,0,57
1545.3500000000001,0.0,1.0,49.85,0,31
5098.5,0.0,0.0,113.3,1,45
5374.099999999999,0.0,1.0,88.1,1,61
1245.0,0.0,1.0,24.9,0,50
1995.0,1.0,0.0,105.0,0,19
1141.65,0.0,1.0,19.35,0,59
1721.75,0.0,1.0,24.25,0,71
1511.2,1.0,0.0,94.45,0,16
3405.75,0.0,1.0,59.75,0,57
24.8,1.0,0.0,24.8,0,1
2141.0,1.0,0.0,107.05,0,20
70.6,1.0,0.0,70.6,0,1
427.0,1.0,0.0,85.4,0,5
5462.599999999999,1.0,0.0,105.05,1,52
1363.95,1.0,0.0,64.95,0,21
770.0,1.0,0.0,55.0,1,14
252.75,1.0,0.0,50.55,0,5
330.9,1.0,0.0,55.15,0,6
512.0,1.0,0.0,51.2,0,10
25.4,1.0,0.0,25.4,0,1
3702.6000000000004,1.0,0.0,54.45,0,68
1712.7,1.0,0.0,95.15,1,18
1672.0,0.0,0.0,76.0,0,22
887.0,1.0,0.0,44.35,0,20
70.0,1.0,0.0,70.0,0,1
596.0,1.0,0.0,74.5,0,8
448.5,1.0,0.0,44.85,0,10
1826.3999999999999,1.0,0.0,76.1,0,24
2142.0,0.0,0.0,61.2,1,35
1996.3999999999999,0.0,0.0,86.8,1,23
536.0999999999999,1.0,0.0,89.35,0,6
236.39999999999998,1.0,0.0,19.7,0,12
20.25,1.0,0.0,20.25,0,1
5399.55,0.0,1.0,76.05,1,71
3528.0,1.0,0.0,100.8,1,35
2982.0,1.0,0.0,74.55,1,40
73.6,1.0,0.0,73.6,0,1
1492.7,0.0,0.0,64.9,0,23
381.8,1.0,0.0,95.45,0,4
361.6,1.0,0.0,90.4,1,4
4100.4,0.0,1.0,60.3,1,68
3110.2999999999997,1.0,0.0,81.85,0,38
1289.6000000000001,0.0,1.0,24.8,0,52
2396.8,1.0,0.0,74.9,0,32
2190.95,0.0,1.0,75.55,1,29
3843.7000000000003,1.0,0.0,101.15,0,38
3780.0,0.0,0.0,78.75,1,48
19.25,1.0,0.0,19.25,0,1
1959.1,1.0,0.0,89.05,0,22
4947.15,0.0,1.0,115.05,1,43
346.75,1.0,0.0,69.35,0,5
403.0,1.0,0.0,80.6,0,5
5612.55,0.0,0.0,110.05,0,51
1412.8999999999999,0.0,1.0,19.9,0,71
3051.4,0.0,0.0,80.3,0,38
2235.6000000000004,1.0,0.0,93.15,1,24
3202.5,1.0,0.0,91.5,0,35
4452.3,0.0,0.0,82.45,0,54
4320.0,0.0,1.0,60.0,1,72
44.8,1.0,0.0,44.8,0,1
437.40000000000003,0.0,0.0,48.6,0,9
4143.45,0.0,1.0,60.05,0,69
5340.400000000001,1.0,0.0,102.7,0,52
911.9000000000001,1.0,0.0,82.9,0,11
140.7,1.0,0.0,70.35,0,2
1005.1999999999999,1.0,0.0,35.9,0,28
1405.0500000000002,1.0,0.0,82.65,1,17
694.75,0.0,1.0,19.85,0,35
153.6,0.0,0.0,19.2,0,8
4365.400000000001,0.0,0.0,94.9,1,46
516.9499999999999,1.0,0.0,73.85,0,7
161.2,1.0,0.0,80.6,1,2
5154.4,0.0,0.0,75.8,1,68
4497.8,0.0,1.0,104.6,1,43
5994.200000000001,0.0,1.0,88.15,1,68
3412.7999999999997,1.0,0.0,94.8,0,36
6514.200000000001,1.0,0.0,103.4,1,63
1748.8,1.0,0.0,54.65,0,32
6088.25,0.0,1.0,85.75,1,71
4451.7,1.0,0.0,67.45,1,66
1291.5,0.0,0.0,20.5,0,63
830.25,0.0,0.0,20.25,0,41
72.1,1.0,0.0,72.1,0,1
180.8,1.0,0.0,90.4,0,2
1361.5,0.0,1.0,19.45,0,70
1033.8500000000001,1.0,0.0,44.95,0,23
6208.0,0.0,0.0,97.0,1,64
2323.6,0.0,1.0,62.8,1,37
758.2,0.0,0.0,44.6,0,17
624.0500000000001,1.0,0.0,89.15,0,7
339.2,1.0,0.0,84.8,1,4
879.9,1.0,0.0,41.9,0,21
802.5,1.0,0.0,80.25,0,10
865.6,1.0,0.0,54.1,0,16
6736.0,0.0,1.0,105.25,0,64
830.25,1.0,0.0,30.75,0,27
4078.2,0.0,0.0,97.1,0,42
101.0,1.0,0.0,20.2,0,5
4050.7999999999997,0.0,1.0,98.8,0,41
2917.3999999999996,0.0,0.0,50.3,1,58
965.85,0.0,1.0,20.55,0,47
1366.2,1.0,0.0,75.9,0,18
482.5,1.0,0.0,96.5,1,5
1378.8500000000001,1.0,0.0,59.95,0,23
19.15,1.0,0.0,19.15,0,1
7004.150000000001,0.0,0.0,98.65,1,71
8107.2,0.0,1.0,112.6,1,72
679.8000000000001,0.0,0.0,20.6,0,33
171.3,1.0,0.0,85.65,0,2
858.0,0.0,1.0,35.75,0,24
5586.0,0.0,0.0,99.75,1,56
3555.7,1.0,0.0,96.1,0,37
3659.2999999999997,0.0,0.0,85.1,1,43
25.35,1.0,0.0,25.35,0,1
2623.75,1.0,0.0,104.95,1,25
5468.650000000001,0.0,1.0,89.65,1,61
1474.75,0.0,0.0,86.75,1,17
3534.2000000000003,0.0,0.0,86.2,1,41
50.65,1.0,0.0,50.65,0,1
4665.599999999999,0.0,1.0,64.8,1,72
90.85,1.0,0.0,90.85,0,1
5188.799999999999,0.0,1.0,108.1,1,48
219.45,1.0,0.0,19.95,0,11
4699.75,1.0,0.0,85.45,1,55
2299.5,0.0,0.0,54.75,1,42
3977.6000000000004,1.0,0.0,90.4,1,44
44.0,1.0,0.0,44.0,0,1
2581.2,1.0,0.0,95.6,0,27
2289.6,1.0,0.0,84.8,1,27
88.6,1.0,0.0,44.3,0,2
378.09999999999997,1.0,0.0,19.9,0,19
3992.1,1.0,0.0,95.05,0,42
5943.3,0.0,1.0,90.05,1,66
3626.7000000000003,1.0,0.0,109.9,1,33
2514.3,1.0,0.0,73.95,0,34
1801.8,1.0,0.0,54.6,1,33
461.15000000000003,0.0,0.0,20.05,0,23
632.0,0.0,0.0,19.75,0,32
220.55,0.0,0.0,20.05,0,11
6862.05,1.0,0.0,99.45,1,69
3801.2,0.0,0.0,55.9,0,68
394.0,0.0,1.0,19.7,0,20
1425.6000000000001,0.0,1.0,19.8,0,72
5724.0,0.0,0.0,95.4,1,60
3006.4,1.0,0.0,93.95,0,32
19.9,1.0,0.0,19.9,0,1
19.6,1.0,0.0,19.6,0,1
244.04999999999998,1.0,0.0,81.35,0,3
1124.7,0.0,0.0,24.45,0,46
2173.55,1.0,0.0,74.95,0,29
4454.849999999999,1.0,0.0,87.35,1,51
3391.2000000000003,1.0,0.0,70.65,0,48
1172.0,1.0,0.0,73.25,0,16
6909.0,0.0,1.0,98.7,1,70
992.0,0.0,1.0,24.8,0,40
1832.6,1.0,0.0,83.3,0,22
75.3,1.0,0.0,75.3,1,1
121.5,1.0,0.0,24.3,0,5
488.94999999999993,1.0,0.0,69.85,0,7
2915.95,0.0,0.0,100.55,1,29
1130.8,0.0,0.0,25.7,0,44
407.0,1.0,0.0,40.7,1,10
2840.75,1.0,0.0,51.65,0,55
5465.2,0.0,0.0,105.1,1,52
859.5,1.0,0.0,85.95,0,10
1360.8,1.0,0.0,75.6,0,18
3961.0,0.0,0.0,58.25,0,68
1183.3999999999999,1.0,0.0,19.4,0,61
4694.400000000001,0.0,1.0,65.2,1,72
106.9,1.0,0.0,53.45,1,2
544.8,1.0,0.0,45.4,0,12
809.75,0.0,1.0,19.75,0,41
1155.7,1.0,0.0,44.45,1,26
750.6,0.0,0.0,20.85,0,36
8211.6,0.0,1.0,114.05,1,72
3144.75,1.0,0.0,89.85,0,35
55.05,1.0,0.0,55.05,1,1
1807.2,1.0,0.0,112.95,1,16
4975.95,1.0,0.0,101.55,0,49
6191.1,0.0,0.0,114.65,1,54
1166.3999999999999,1.0,0.0,64.8,0,18
2894.4,1.0,0.0,80.4,0,36
6354.0,1.0,0.0,105.9,1,60
69.55,1.0,0.0,69.55,0,1
1302.6000000000001,0.0,1.0,25.05,0,52
758.0,1.0,0.0,94.75,1,8
7596.0,0.0,1.0,105.5,0,72
1580.8,0.0,0.0,24.7,0,64
1534.5,1.0,0.0,69.75,1,22
3612.0,1.0,0.0,60.2,1,60
2269.4,1.0,0.0,81.05,0,28
1488.3999999999999,0.0,1.0,24.4,0,61
2499.6000000000004,1.0,0.0,104.15,1,24
2601.2000000000003,0.0,0.0,92.9,1,28
2424.0,0.0,1.0,80.8,1,30
40.0,1.0,0.0,20.0,0,2
75.1,1.0,0.0,75.1,0,1
117.89999999999999,1.0,0.0,19.65,0,6
1666.8000000000002,1.0,0.0,69.45,0,24
404.6,1.0,0.0,101.15,1,4
698.6,1.0,0.0,99.8,0,7
8355.6,0.0,1.0,116.05,1,72
2803.5,0.0,1.0,40.05,0,70
6534.4,0.0,1.0,102.1,1,64
6458.400000000001,0.0,0.0,89.7,0,72
875.5999999999999,0.0,1.0,19.9,0,44
727.35,1.0,0.0,55.95,0,13
351.04999999999995,0.0,0.0,20.65,0,17
55.0,1.0,0.0,55.0,0,1
630.4499999999999,1.0,0.0,70.05,1,9
1286.4,1.0,0.0,53.6,0,24
74.7,1.0,0.0,74.7,0,1
1926.0,1.0,0.0,80.25,0,24
2661.75,1.0,0.0,76.05,0,35
529.9,1.0,0.0,75.7,1,7
480.5,1.0,0.0,96.1,0,5
1035.0,1.0,0.0,69.0,0,15
216.14999999999998,0.0,1.0,19.65,0,11
2174.3999999999996,1.0,0.0,45.3,1,48
1629.0,1.0,0.0,81.45,0,20
7812.0,0.0,0.0,108.5,1,72
668.4,1.0,0.0,83.55,0,8
6084.0,0.0,1.0,84.5,0,72
1502.25,1.0,0.0,100.15,0,15
6379.2,0.0,1.0,88.6,1,72
0.0,0.0,1.0,52.55,1,0
74.35,1.0,0.0,74.35,0,1
6602.4,0.0,1.0,104.8,1,63
118.0,1.0,0.0,59.0,0,2
148.8,1.0,0.0,74.4,0,2
3907.0499999999997,0.0,0.0,64.05,0,61
20.4,1.0,0.0,20.4,0,1
962.5,0.0,0.0,43.75,1,22
1705.2,1.0,0.0,60.9,0,28
1386.0,0.0,1.0,19.8,0,70
142.25,1.0,0.0,28.45,0,5
1196.4,1.0,0.0,99.7,1,12
3952.5,0.0,0.0,116.25,1,34
5729.7,0.0,1.0,80.7,0,71
4564.0,0.0,0.0,65.2,0,70
4370.599999999999,1.0,0.0,84.05,1,52
5482.05,0.0,1.0,79.45,1,69
1882.0,1.0,0.0,94.1,1,20
858.0,1.0,0.0,78.0,1,11
188.4,1.0,0.0,94.2,0,2
483.0,1.0,0.0,80.5,0,6
19.85,1.0,0.0,19.85,0,1
1886.0,0.0,0.0,94.3,1,20
6493.45,1.0,0.0,106.45,1,61
371.75,1.0,0.0,74.35,0,5
5905.2,1.0,0.0,105.45,0,56
2850.0,1.0,0.0,95.0,1,30
4192.0,1.0,0.0,104.8,1,40
1520.3999999999999,0.0,0.0,54.3,0,28
350.25,1.0,0.0,70.05,0,5
2030.4,1.0,0.0,75.2,0,27
240.60000000000002,1.0,0.0,20.05,0,12
7061.8,0.0,0.0,105.4,1,67
1496.4,1.0,0.0,51.6,0,29
4702.5,1.0,0.0,85.5,0,55
1738.8,1.0,0.0,75.6,0,23
3401.7,1.0,0.0,100.05,1,34
4745.0,0.0,0.0,91.25,1,52
8334.0,0.0,1.0,115.75,1,72
5492.6,0.0,0.0,94.7,0,58
686.0,0.0,1.0,19.6,0,35
5594.400000000001,0.0,1.0,99.9,1,56
506.40000000000003,0.0,1.0,21.1,0,24
1403.5,0.0,1.0,20.05,0,70
159.9,1.0,0.0,79.95,0,2
7286.200000000001,0.0,0.0,107.15,1,68
85.0,1.0,0.0,85.0,0,1
1074.6,1.0,0.0,89.55,1,12
5137.65,1.0,0.0,81.55,0,63
1928.8500000000001,0.0,0.0,58.45,1,33
6599.85,0.0,0.0,95.65,0,69
4836.0,0.0,1.0,80.6,1,60
8143.2,0.0,1.0,113.1,1,72
648.45,1.0,0.0,58.95,0,11
19.55,1.0,0.0,19.55,0,1
860.5,1.0,0.0,86.05,0,10
592.15,1.0,0.0,45.55,0,13
2684.3,0.0,0.0,78.95,0,34
3365.7,1.0,0.0,86.3,0,39
6828.25,0.0,0.0,105.05,0,65
5095.0,0.0,0.0,101.9,1,50
296.25,1.0,0.0,19.75,0,15
7941.599999999999,0.0,1.0,110.3,1,72
8323.199999999999,0.0,1.0,115.6,1,72
1064.25,0.0,1.0,19.35,0,55
588.8000000000001,0.0,1.0,25.6,0,23
2571.2,1.0,0.0,80.35,0,32
3850.0,0.0,0.0,68.75,1,56
19.9,1.0,0.0,19.9,0,1
2682.7999999999997,0.0,0.0,70.6,0,38
772.2,1.0,0.0,70.2,0,11
49.3,1.0,0.0,49.3,0,1
6006.0,0.0,0.0,107.25,0,56
70.80000000000001,1.0,0.0,23.6,0,3
487.90000000000003,1.0,0.0,69.7,0,7
5870.5,0.0,1.0,99.5,1,59
450.09999999999997,1.0,0.0,64.3,1,7
5030.349999999999,0.0,1.0,70.85,1,71
1528.5,0.0,0.0,101.9,0,15
5218.5,0.0,1.0,73.5,0,71
3508.75,1.0,0.0,100.25,1,35
444.4,0.0,0.0,40.4,1,11
1155.0,0.0,1.0,19.25,0,60
2801.2000000000003,0.0,1.0,59.6,0,47
713.9000000000001,0.0,0.0,64.9,1,11
5616.8,0.0,0.0,100.3,0,56
3103.7999999999997,1.0,0.0,110.85,1,28
4944.05,0.0,1.0,81.05,0,61
3039.5499999999997,0.0,0.0,98.05,1,31
634.5,1.0,0.0,70.5,0,9
3309.25,1.0,0.0,94.55,0,35
39.3,1.0,0.0,19.65,0,2
228.0,1.0,0.0,19.0,0,12
75.3,1.0,0.0,75.3,0,1
356.8,1.0,0.0,89.2,1,4
19.0,1.0,0.0,19.0,0,1
60.0,1.0,0.0,20.0,0,3
85.7,1.0,0.0,85.7,0,1
3289.0,0.0,1.0,63.25,0,52
100.5,0.0,0.0,20.1,0,5
7138.8,0.0,1.0,99.15,1,72
6418.400000000001,0.0,1.0,90.4,1,71
8056.8,0.0,1.0,111.9,1,72
1145.3999999999999,0.0,0.0,24.9,0,46
5260.5,0.0,1.0,83.5,1,63
2529.0,1.0,0.0,84.3,1,30
45.6,1.0,0.0,45.6,0,1
739.8,1.0,0.0,61.65,1,12
877.6,0.0,1.0,54.85,1,16
262.2,1.0,0.0,65.55,0,4
4607.849999999999,0.0,0.0,90.35,0,51
1326.0,0.0,1.0,20.4,0,65
1192.8,1.0,0.0,74.55,0,16
39.9,0.0,0.0,19.95,0,2
4900.5,0.0,0.0,74.25,0,66
4997.900000000001,0.0,1.0,108.65,1,46
3505.6,0.0,0.0,109.55,1,32
6238.8,0.0,1.0,86.65,1,72
3078.0,0.0,1.0,81.0,1,38
2440.35,0.0,0.0,47.85,0,51
8247.6,0.0,1.0,114.55,1,72
6841.25,1.0,0.0,105.25,1,65
269.55,1.0,0.0,29.95,0,9
585.0,1.0,0.0,65.0,1,9
1356.3,0.0,1.0,20.55,0,66
4831.2,0.0,0.0,109.8,1,44
3475.0,0.0,1.0,69.5,1,50
732.75,1.0,0.0,48.85,0,15
202.0,1.0,0.0,25.25,0,8
6788.099999999999,0.0,0.0,102.85,1,66
4990.349999999999,1.0,0.0,87.55,0,57
549.85,1.0,0.0,78.55,0,7
345.5,1.0,0.0,34.55,0,10
5707.099999999999,0.0,0.0,92.05,1,62
3402.0,0.0,0.0,85.05,1,40
394.0,0.0,1.0,19.7,0,20
140.0,1.0,0.0,20.0,0,7
2378.75,1.0,0.0,95.15,0,25
1937.75,1.0,0.0,84.25,1,23
6903.599999999999,0.0,0.0,104.6,1,66
8038.8,0.0,1.0,111.65,1,72
4412.45,1.0,0.0,90.05,0,49
4762.25,1.0,0.0,110.75,1,43
2530.0,1.0,0.0,55.0,0,46
6469.2,0.0,1.0,89.85,1,72
203.5,0.0,0.0,20.35,0,10
2182.0,0.0,0.0,54.55,0,40
6857.5,1.0,0.0,105.5,1,65
3082.9500000000003,0.0,1.0,99.45,1,31
4821.200000000001,0.0,1.0,70.9,1,68
5854.8,0.0,0.0,104.55,1,56
852.5,1.0,0.0,85.25,0,10
1727.1999999999998,0.0,1.0,25.4,0,68
2414.45,1.0,0.0,56.15,0,43
89.55,1.0,0.0,89.55,0,1
4402.65,0.0,0.0,89.85,1,49
378.75,1.0,0.0,25.25,0,15
1891.0,1.0,0.0,94.55,0,20
45.7,1.0,0.0,45.7,0,1
3482.5000000000005,0.0,0.0,69.65,1,50
