total_charges,contract,monthly_charges,payment_method,tenure
3374.4,0,91.2,0,37
6208.0,1,97.0,0,64
3612.0,0,60.2,0,60
20.05,0,20.05,3,1
1147.3,2,81.95,3,14
76.0,0,76.0,2,1
1500.25,0,88.25,2,17
6583.5,1,104.5,1,63
1890.0,2,26.25,0,72
2915.95,1,100.55,1,29
1107.0,1,61.5,3,18
2665.7000000000003,1,70.15,1,38
501.8,1,19.3,1,26
7336.0,1,104.8,2,70
555.1,0,79.3,2,7
458.7000000000001,1,20.85,0,22
1368.75,1,54.75,1,25
1290.3,1,39.1,2,33
2579.85,0,95.55,2,27
1123.5,0,74.9,0,15
1018.85,1,24.85,3,41
3610.0,1,95.0,0,38
3924.8,0,89.2,2,44
1303.5,2,19.75,3,66
396.15,2,20.85,1,19
1533.4,0,90.2,1,17
524.3000000000001,0,74.9,2,7
1505.7,1,71.7,0,21
5740.099999999999,2,94.1,2,61
202.8,0,50.7,2,4
4361.6,1,75.2,1,58
1174.95,1,55.95,2,21
1197.0,2,19.95,3,60
1105.1,2,25.7,1,43
3069.0,0,85.25,1,36
3135.0,0,55.0,2,57
1318.8000000000002,0,54.95,2,24
7157.0,2,105.25,0,68
6814.8,0,94.65,2,72
355.95,1,39.55,3,9
5247.0,2,79.5,1,66
588.0,0,73.5,2,8
5152.5,1,103.05,3,50
757.5,0,75.75,3,10
1641.6,0,30.4,2,54
79.65,0,79.65,2,1
7707.05,2,108.55,1,71
404.6,0,101.15,2,4
1803.45,0,54.65,0,33
866.5,0,86.65,2,10
3542.4,2,49.2,2,72
20.85,0,20.85,3,1
1715.2,2,25.6,0,67
1760.0,0,80.0,1,22
5998.5,1,96.75,2,62
879.9,0,41.9,2,21
7599.0,2,111.75,1,68
686.35,0,98.05,0,7
4628.4,0,79.8,0,58
1926.25,0,83.75,2,23
1700.45,2,23.95,0,71
3534.2000000000003,1,86.2,0,41
0.0,2,56.05,1,0
3791.15,2,62.15,3,61
4583.900000000001,2,99.65,3,46
124.2,0,20.7,3,6
659.75,0,94.25,2,7
1547.7,0,73.7,2,21
1235.65,0,95.05,2,13
1832.6,0,83.3,2,22
1795.3,0,69.05,1,26
169.6,0,42.4,3,4
1228.5,2,19.5,1,63
399.5,0,79.9,0,5
118.2,0,19.7,1,6
5194.75,0,94.45,1,55
3896.4,1,76.4,0,51
3850.0,1,68.75,0,56
361.8,1,20.1,3,18
7603.2,2,105.6,0,72
942.4,0,49.6,0,19
2127.4,0,96.7,2,22
1453.45,1,35.45,3,41
97.25,0,19.45,3,5
4235.099999999999,2,74.3,1,57
2942.05,0,101.45,0,29
3095.4,1,93.8,2,33
7045.2,2,97.85,2,72
2748.15,0,88.65,1,31
5431.400000000001,1,104.45,0,52
701.75,1,20.05,0,35
138.95000000000002,2,19.85,3,7
1203.4,0,54.7,3,22
449.4,0,74.9,2,6
2262.0,2,37.7,0,60
486.0,1,20.25,3,24
2280.05,0,73.55,1,31
2229.5,0,85.75,2,26
69.9,0,69.9,3,1
784.0,2,19.6,3,40
200.5,0,20.05,1,10
1344.0,2,19.2,3,70
165.45,0,55.15,3,3
3910.0,0,85.0,2,46
6498.85,1,110.15,2,59
3391.2000000000003,0,70.65,0,48
1141.65,2,19.35,3,59
887.4000000000001,0,30.6,2,29
157.2,0,19.65,2,8
177.75,2,19.75,3,9
465.6,1,58.2,0,8
2518.6,0,89.95,2,28
1520.0,1,76.0,0,20
5866.0,1,104.75,0,56
1991.85,0,40.65,0,49
444.5,0,88.9,3,5
1620.0,0,90.0,1,18
6418.400000000001,2,90.4,2,71
1780.0,0,89.0,3,20
1694.0,1,42.35,2,40
1090.8,0,60.6,3,18
771.4,1,20.3,3,38
7075.2,1,105.6,2,67
940.95,0,55.35,1,17
35.25,0,35.25,0,1
1703.4,2,25.05,1,68
2910.25,0,83.15,2,35
227.4,0,75.8,2,3
722.0,0,90.25,2,8
2056.1000000000004,1,70.9,1,29
69.4,0,34.7,2,2
3911.4,0,73.8,1,53
25.3,0,25.3,2,1
526.0500000000001,0,75.15,2,7
80.2,0,20.05,0,4
2204.0,0,76.0,1,29
225.3,0,75.1,1,3
25.8,0,25.8,3,1
247.1,1,35.3,3,7
5785.0,1,111.25,1,52
6620.400000000001,2,91.95,1,72
5321.25,0,96.75,2,55
19.65,0,19.65,0,1
117.3,2,19.55,3,6
585.8,2,20.2,3,29
2022.3,2,48.15,1,42
1210.5,1,40.35,1,30
50.9,0,50.9,3,1
6195.599999999999,2,86.05,1,72
202.8,0,50.7,1,4
24.7,0,24.7,2,1
68.65,0,68.65,2,1
74.25,0,74.25,3,1
4984.8,0,80.4,0,62
1518.75,0,101.25,2,15
19.2,0,19.2,3,1
1363.4,2,20.05,0,68
527.4499999999999,0,75.35,2,7
6339.599999999999,2,88.05,0,72
6238.8,2,86.65,1,72
2823.0,0,94.1,1,30
84.5,0,84.5,2,1
1604.85,1,41.15,0,39
5722.599999999999,1,92.3,0,62
5774.35,1,108.95,0,53
6867.3,1,104.05,2,66
5236.25,0,88.75,1,59
1435.5,0,95.7,2,15
859.5,0,95.5,2,9
964.8,1,30.15,3,32
1099.9,0,64.7,3,17
3038.75,2,55.25,1,55
436.05,0,25.65,3,17
6023.7,1,87.3,1,69
4923.599999999999,2,74.6,1,66
1191.2,0,74.45,0,16
5610.5,2,80.15,1,70
967.5,1,19.35,3,50
60.0,0,20.0,3,3
1117.75,0,65.75,0,17
1936.0,0,96.8,3,20
1398.7,2,19.7,1,71
3573.4,0,105.1,2,34
1079.3,2,25.1,2,43
5095.0,1,101.9,0,50
4165.599999999999,1,101.6,0,41
4311.9,0,79.85,0,54
1244.8,2,19.45,1,64
1684.85,0,54.35,3,31
863.5,0,78.5,2,11
342.6,0,85.65,2,4
1116.15,2,53.15,3,21
850.5,2,24.3,0,35
5756.5,1,99.25,1,58
401.0,2,20.05,3,20
1500.0,2,25.0,3,60
830.25,1,20.25,1,41
766.5,0,51.1,2,15
44.3,0,44.3,3,1
6567.0,0,99.5,2,66
69.25,0,69.25,2,1
89.0,0,44.5,2,2
2692.8,0,84.15,0,32
5648.400000000001,2,78.45,0,72
5958.2,1,96.1,2,62
715.9499999999999,0,79.55,2,9
344.2,0,86.05,2,4
2461.5,0,82.05,0,30
4180.0,0,104.5,1,40
664.9499999999999,1,20.15,3,33
5040.0,1,80.0,1,63
1267.2,1,19.8,0,64
482.75,0,96.55,2,5
140.0,0,20.0,0,7
798.5,0,79.85,3,10
6334.65,0,100.55,2,63
788.0,2,39.4,1,20
3195.8,1,84.1,0,38
7134.599999999999,1,108.1,1,66
1184.3,0,91.1,2,13
1591.1999999999998,0,66.3,3,24
2402.35,0,104.45,2,23
2923.2,0,91.35,3,32
3067.65,1,60.15,0,51
764.0,2,19.1,3,40
1299.1,0,59.05,3,22
70.45,0,70.45,0,1
536.0999999999999,0,89.35,2,6
19.65,0,19.65,3,1
82.0,1,20.5,0,4
6354.0,0,105.9,2,60
4676.400000000001,2,64.95,1,72
2526.3,1,60.15,0,42
124.3,0,62.15,3,2
4157.25,2,60.25,0,69
172.0,0,86.0,2,2
36.45,0,36.45,2,1
2058.4,0,66.4,1,31
328.0,2,20.5,3,16
294.0,0,19.6,3,15
188.4,0,94.2,0,2
1573.35,0,92.55,2,17
567.0,0,94.5,3,6
3647.8,0,59.8,2,61
19.15,0,19.15,3,1
1666.3,1,87.7,1,19
2378.2,2,54.05,1,44
7836.5,2,111.95,1,70
1590.75,2,25.25,3,63
2557.8,1,44.1,3,58
3927.3,1,74.1,0,53
2613.7,0,44.3,2,59
7179.45,1,104.05,0,69
1277.9,0,49.15,0,26
1315.6,1,57.2,1,23
2291.1,0,54.55,1,42
50.55,0,50.55,3,1
287.70000000000005,0,47.95,2,6
1206.4,2,20.8,3,58
304.65,0,101.55,0,3
813.85,2,19.85,3,41
3540.9,1,61.05,0,58
4783.8,0,93.8,0,51
7113.6,0,111.15,2,64
486.4,2,25.6,3,19
4743.0,0,79.05,1,60
7890.15,2,114.35,0,69
242.1,0,80.7,2,3
665.0,0,95.0,3,7
1390.8,0,73.2,2,19
77.15,0,77.15,2,1
1466.3,2,23.65,0,62
49.95,0,49.95,0,1
73.55,0,73.55,2,1
1667.4,0,59.55,0,28
6379.05,2,92.45,3,69
2389.5,0,79.65,3,30
1572.0,0,39.3,2,40
19.85,0,19.85,3,1
4538.25,0,100.85,1,45
1730.3000000000002,1,78.65,3,22
942.35,2,20.05,1,47
40.0,0,20.0,3,2
456.3,0,35.1,2,13
378.0,0,18.9,1,20
924.0,2,19.25,3,48
6760.3,1,100.9,1,67
6954.5,2,99.35,1,70
6336.0,2,99.0,0,64
3320.1000000000004,0,97.65,2,34
6548.400000000001,2,90.95,0,72
1598.5,0,69.5,1,23
1335.0,0,89.0,1,15
2229.7,0,101.35,0,22
2878.2000000000003,1,70.2,3,41
5606.6,2,82.45,1,68
7455.0,1,106.5,2,70
6166.349999999999,2,86.85,0,71
6066.95,2,85.45,0,71
44.45,0,44.45,3,1
55.0,0,55.0,2,1
62.55,0,20.85,3,3
3736.0,0,93.4,0,40
151.8,0,50.6,2,3
1748.7,2,26.1,3,67
1357.2,0,75.4,2,18
401.0,0,20.05,3,20
222.75,0,74.25,2,3
8243.1,2,116.1,0,71
850.0,0,34.0,0,25
2910.4,0,90.95,2,32
929.2,2,20.2,3,46
1315.8000000000002,2,19.35,0,68
3823.2,2,79.65,2,48
140.8,0,70.4,2,2
5216.400000000001,1,93.15,2,56
393.75,0,78.75,2,5
224.85,0,74.95,2,3
5942.4,1,92.85,2,64
4253.5,2,90.5,3,47
4236.75,2,67.25,3,63
523.8,0,19.4,2,27
3315.85,0,70.55,0,47
1442.55,2,24.45,2,59
75.4,0,18.85,3,4
8272.800000000001,2,114.9,2,72
716.9499999999999,1,55.15,3,13
7157.7,1,108.45,2,66
867.3,1,20.65,3,42
199.5,0,19.95,0,10
1116.75,0,74.45,3,15
4284.0,2,95.2,1,45
3544.8,1,73.85,0,48
25.25,0,25.25,0,1
2054.7,0,76.1,2,27
96.75,0,19.35,3,5
1996.4,1,86.8,3,23
827.2,0,75.2,1,11
3571.75,0,102.05,0,35
5949.599999999999,1,88.8,0,67
2466.75,1,74.75,1,33
8208.0,2,114.0,2,72
7349.900000000001,1,109.7,1,67
661.65,0,20.05,3,33
2768.3,1,58.9,3,47
1274.0,0,98.0,2,13
1498.5,0,83.25,2,18
8071.2,2,112.1,1,72
986.7,0,89.7,0,11
310.8,0,44.4,2,7
5867.55,0,99.45,0,59
3212.8,0,100.4,2,32
1691.75,2,25.25,1,67
4465.05,1,87.55,1,51
5548.95,1,94.05,2,59
1891.2,2,39.4,3,48
70.55,0,70.55,2,1
443.9,1,19.3,1,23
3596.7000000000003,0,94.65,2,38
378.1,1,19.9,3,19
228.15,0,76.05,2,3
5736.200000000001,0,98.9,2,58
100.4,0,50.2,1,2
375.75,0,75.15,0,5
7293.599999999999,2,101.3,0,72
4831.2,1,109.8,1,44
315.2,0,19.7,3,16
611.4000000000001,0,50.95,0,12
537.0,0,89.5,2,6
7783.2,2,108.1,0,72
570.4,1,24.8,1,23
2677.1,1,70.45,0,38
4474.400000000001,1,95.2,1,47
1082.7,2,20.05,1,54
1029.0,0,68.6,0,15
1882.0,0,94.1,2,20
1172.0,0,73.25,0,16
69.35,0,69.35,2,1
24.8,0,24.8,0,1
917.7,2,19.95,2,46
6737.85,2,97.65,1,69
4140.5,0,84.5,2,49
2909.7,1,54.9,1,53
136.15,1,19.45,3,7
2110.5,0,50.25,2,42
855.0999999999999,0,50.3,3,17
163.0,0,81.5,3,2
7498.8,1,104.15,2,72
574.0,0,20.5,3,28
50.35,0,50.35,2,1
1293.0,0,86.2,2,15
7172.349999999999,1,107.05,1,67
1094.5,0,99.5,2,11
5779.2,2,103.2,2,56
1212.2,0,55.1,3,22
651.6999999999999,0,34.3,1,19
862.4000000000001,0,19.6,3,44
357.5,0,35.75,2,10
1279.8,0,71.1,2,18
571.5,2,19.05,3,30
929.5,0,35.75,2,26
6348.1,2,109.45,0,58
29.7,0,29.7,3,1
596.25,0,66.25,3,9
4125.0,1,82.5,1,50
1414.5,1,30.75,0,46
134.25,0,44.75,3,3
562.1,0,51.1,2,11
2602.95,0,70.35,3,37
1192.4,0,54.2,2,22
1715.2,2,25.6,1,67
20.2,0,20.2,3,1
1065.9,0,56.1,3,19
670.9499999999999,0,74.55,2,9
6909.0,2,98.7,0,70
50.15,0,50.15,3,1
1602.9,0,41.1,0,39
141.4,0,70.7,1,2
2146.2,0,43.8,3,49
450.1,0,64.3,0,7
45.85,0,45.85,3,1
6164.05,2,101.05,0,61
42.9,0,42.9,2,1
3662.0,0,91.55,2,40
1735.95,2,24.45,1,71
2156.4,0,89.85,3,24
706.3000000000001,0,50.45,2,14
5746.2,0,94.2,1,61
3293.4,1,74.85,0,44
1386.0,2,19.8,0,70
1334.7,0,74.15,2,18
885.0,0,73.75,1,12
7085.099999999999,1,107.35,0,66
1253.55,2,20.55,1,61
3607.8,0,85.9,1,42
5116.5,1,94.75,0,54
60.75,0,20.25,2,3
3701.85,1,53.65,1,69
58.8,0,19.6,3,3
524.3000000000001,0,74.9,2,7
1134.3,2,19.9,0,57
1049.3,0,74.95,2,14
457.6,1,41.6,2,11
78.8,1,19.7,3,4
4057.05,1,94.35,3,43
4606.599999999999,1,74.3,1,62
1152.0,0,96.0,2,12
224.95,0,20.45,2,11
1136.2,0,59.8,3,19
4666.2,1,106.05,2,44
859.0999999999999,0,78.1,1,11
5817.599999999999,2,80.8,2,72
4497.8,2,104.6,2,43
59.400000000000006,0,19.8,3,3
403.5,0,80.7,2,5
59.7,0,29.85,0,2
5814.0,1,85.5,0,68
3118.5,0,94.5,2,33
393.8,0,35.8,3,11
6206.55,0,89.95,2,69
6943.2,0,105.2,2,66
2190.95,2,75.55,3,29
357.2,0,44.65,0,8
4640.400000000001,2,64.45,1,72
363.6,0,45.45,2,8
3329.6,1,104.05,1,32
1122.8,2,20.05,3,56
807.0,0,80.7,0,10
2706.0,1,61.5,3,44
1927.4,0,83.8,2,23
193.0,0,48.25,3,4
1837.8,0,51.05,1,36
3917.45,0,83.35,0,47
60.5,0,30.25,3,2
1060.8,1,20.4,2,52
454.0,0,90.8,2,5
4211.2,1,65.8,3,64
100.6,0,50.3,3,2
162.0,2,20.25,3,8
70.15,0,70.15,3,1
44.65,0,44.65,3,1
3630.0,2,60.5,0,60
1814.0,0,90.7,1,20
1124.2,0,51.1,2,22
3817.8,1,70.7,2,54
80.55,0,80.55,2,1
250.9,1,19.3,1,13
2317.2,2,96.55,2,24
444.6,0,74.1,2,6
3898.8,0,102.6,2,38
1021.8,1,85.15,1,12
1160.9,0,44.65,0,26
243.3,2,40.55,3,6
5855.8,1,87.4,2,67
6432.5,1,103.75,2,62
1972.5,0,39.45,1,50
4726.8,2,65.65,0,72
3065.9,0,98.9,2,31
6624.0,2,92.0,1,72
2266.9500000000003,0,44.45,1,51
20.4,0,20.4,3,1
6915.0,2,115.25,1,60
474.0,2,19.75,3,24
161.3,0,80.65,2,2
311.8,0,77.95,0,4
4398.55,2,65.65,3,67
7341.6,1,106.4,1,69
69.55,0,69.55,3,1
1664.95,2,24.85,1,67
89.9,0,89.9,2,1
5617.95,0,83.85,0,67
2334.15,0,86.45,0,27
4366.5,0,106.5,2,41
6988.8,2,109.2,1,64
69.6,0,69.6,2,1
268.5,0,44.75,2,6
4698.0,2,65.25,1,72
3995.7,1,70.1,0,57
5106.5,2,72.95,0,70
855.5,0,85.55,2,10
55.7,0,55.7,3,1
6379.349999999999,2,89.85,3,71
120.9,0,40.3,3,3
1524.6,2,24.2,3,63
1865.0,0,74.6,2,25
1512.8,2,24.4,3,62
5211.25,1,94.75,2,55
4118.400000000001,2,79.2,2,52
1296.0,0,81.0,2,16
2546.2,0,87.8,1,29
70.2,0,35.1,2,2
565.6,0,70.7,0,8
426.5,0,85.3,3,5
177.29999999999998,0,19.7,1,9
2380.8,0,74.4,2,32
6084.0,2,84.5,1,72
347.55,2,49.65,1,7
1051.2,0,58.4,1,18
5044.799999999999,0,105.1,1,48
6840.849999999999,2,96.35,1,71
70.05,0,70.05,2,1
7258.8,1,105.2,0,69
1230.0,2,20.5,0,60
25.05,0,25.05,2,1
49.0,0,49.0,1,1
3484.6,0,91.7,0,38
80.2,0,20.05,3,4
3082.9500000000003,2,99.45,0,31
1103.9,0,78.85,2,14
7788.7,2,109.7,0,71
161.9,0,80.95,2,2
5977.6,2,93.4,0,64
724.9499999999999,0,80.55,2,9
5913.599999999999,1,105.6,1,56
1036.2,0,94.2,2,11
1396.8,2,19.4,1,72
19.65,0,19.65,3,1
6567.0,0,109.45,0,60
1650.0,0,50.0,2,33
1436.4,2,19.95,0,72
2265.9,1,87.15,1,26
257.4,0,85.8,2,3
862.4000000000001,0,39.2,2,22
1398.1,0,63.55,3,22
53.55,0,53.55,3,1
1478.25,0,54.75,1,27
69.7,0,69.7,0,1
4358.3,0,106.3,2,41
1040.2,0,74.3,2,14
485.44999999999993,0,69.35,2,7
1734.4,0,54.2,2,32
2808.5,1,68.5,0,41
184.0,0,46.0,2,4
1453.2,2,25.95,0,56
3644.85,0,110.45,2,33
132.8,0,66.4,0,2
2959.6,0,105.7,2,28
54.5,0,54.5,2,1
18.8,1,18.8,3,1
140.0,0,70.0,0,2
297.6,0,74.4,3,4
3581.9,0,105.35,2,34
3734.4,1,58.35,0,64
132.65,0,18.95,3,7
4294.2,1,84.2,0,51
427.35,1,20.35,3,21
1492.05,2,71.05,1,21
5167.05,1,90.65,2,57
453.0,0,75.5,2,6
395.2,0,49.4,2,8
459.9,0,25.55,1,18
490.69999999999993,0,70.1,3,7
2086.0,0,59.6,2,35
2392.0,1,74.75,3,32
3013.5,0,100.45,2,30
1309.1,1,50.35,3,26
3613.8,0,95.1,1,38
4641.2,0,113.2,2,41
1524.9,0,44.85,2,34
3300.0,1,60.0,1,55
5358.0,0,94.0,1,57
6903.599999999999,1,104.6,1,66
3702.3,0,86.1,1,43
2441.6,0,76.3,0,32
20.25,0,20.25,3,1
3230.0,1,80.75,3,40
4020.05,0,98.05,0,41
2715.0,0,90.5,1,30
240.3,0,80.1,1,3
5621.4,0,104.1,0,54
853.65,0,94.85,3,9
527.8000000000001,0,75.4,2,7
5820.299999999999,1,100.35,1,58
4651.400000000001,2,89.45,1,52
1038.7,1,39.95,0,26
691.9000000000001,0,20.35,3,34
4271.799999999999,0,80.6,3,53
1316.25,0,87.75,0,15
19.45,0,19.45,3,1
279.0,0,55.8,1,5
3581.9,0,105.35,0,34
3243.2,0,101.35,2,32
1451.4,1,35.4,1,41
1355.0,1,54.2,2,25
1055.7,1,62.1,3,17
421.6,0,24.8,3,17
5929.0,2,84.7,3,70
825.6,1,19.2,3,43
1728.85,2,24.35,3,71
48.9,0,24.45,3,2
3655.4,0,74.6,0,49
7560.0,1,105.0,1,72
2191.8,0,84.3,3,26
361.8,1,20.1,3,18
93.3,0,93.3,2,1
216.9,1,24.1,0,9
2143.4,0,76.55,0,28
1155.0,2,19.25,1,60
479.55,0,20.85,2,23
1196.25,0,79.75,2,15
1956.05,0,67.45,3,29
1108.8,2,19.8,1,56
600.6,1,54.6,3,11
1872.45,1,69.35,1,27
70.0,0,70.0,2,1
5976.3,1,90.55,0,66
113.1,0,56.55,1,2
382.85,2,20.15,3,19
5886.900000000001,1,94.95,1,62
4011.15,1,78.65,1,51
6786.0,2,94.25,0,72
895.0,0,89.5,2,10
2519.7,1,68.1,1,37
1755.25,0,50.15,3,35
609.5,0,60.95,3,10
20.15,0,20.15,3,1
526.5,0,20.25,1,26
5925.599999999999,2,82.3,0,72
3782.9,0,99.55,2,38
1797.3,0,99.85,0,18
2951.2000000000003,1,52.7,3,56
1960.2,1,54.45,3,36
1952.5,0,88.75,2,22
6766.5,2,104.1,0,65
1452.6,0,53.8,2,27
2151.8,0,74.2,2,29
953.5,0,95.35,2,10
5247.5,0,104.95,2,50
776.25,0,86.25,2,9
560.0500000000001,1,24.35,3,23
1314.0,0,54.75,2,24
55.7,0,55.7,3,1
1288.0,0,64.4,1,20
3497.4,1,60.3,1,58
947.05,2,20.15,3,47
6699.599999999999,2,93.05,0,72
702.8000000000001,0,50.2,1,14
3394.5,1,54.75,1,62
2830.5,0,76.5,2,37
994.7,0,34.3,2,29
1190.4,2,19.2,1,62
4590.8,0,99.8,2,46
188.4,0,94.2,2,2
4785.0,0,95.7,2,50
2511.6000000000004,0,104.65,2,24
6248.0,2,113.6,2,55
7366.4,2,115.1,0,64
355.8,0,88.95,2,4
176.7,0,29.45,0,6
76.45,0,76.45,2,1
2323.6,2,62.8,1,37
1764.35,2,24.85,0,71
1605.15,1,55.35,1,29
625.4499999999999,0,89.35,1,7
3163.2,0,98.85,1,32
5590.25,0,94.75,2,59
2982.0,0,74.55,2,40
295.0,0,29.5,3,10
517.05,1,19.15,3,27
605.5,0,86.5,2,7
1608.75,2,24.75,1,65
810.0,0,81.0,1,10
1941.2,0,84.4,3,23
4009.1,2,85.3,1,47
605.55,0,55.05,0,11
408.0,0,34.0,3,12
1335.0,0,44.5,2,30
75.7,0,75.7,2,1
6235.8,1,109.4,0,57
772.2,0,70.2,2,11
