no_internet_service,payment_method_mailed_check,contract_one_year,monthly_charges,tenure,churn
0.0,0.0,0.0,100.8,35,0
0.0,0.0,0.0,60.3,68,0
0.0,0.0,0.0,96.25,5,1
0.0,0.0,0.0,44.6,3,0
0.0,0.0,0.0,72.75,4,0
1.0,0.0,0.0,25.3,4,0
0.0,0.0,0.0,79.7,2,1
0.0,0.0,0.0,110.1,40,0
0.0,0.0,0.0,95.1,10,0
0.0,0.0,0.0,80.5,24,0
0.0,0.0,0.0,107.4,72,0
0.0,0.0,0.0,99.3,24,1
0.0,0.0,0.0,86.6,72,0
0.0,0.0,0.0,52.2,1,1
0.0,0.0,0.0,88.35,18,1
0.0,0.0,0.0,40.05,4,0
0.0,0.0,0.0,90.85,36,1
0.0,0.0,0.0,75.25,11,0
0.0,0.0,0.0,69.55,1,1
0.0,0.0,0.0,79.9,42,0
0.0,0.0,0.0,85.35,16,1
0.0,0.0,1.0,114.35,50,0
0.0,0.0,0.0,24.6,1,1
1.0,1.0,0.0,19.95,38,0
0.0,0.0,0.0,79.85,24,0
0.0,0.0,0.0,59.7,31,0
1.0,0.0,0.0,19.45,8,0
0.0,0.0,1.0,107.55,43,1
0.0,0.0,0.0,70.35,57,0
1.0,1.0,0.0,20.85,13,0
0.0,0.0,1.0,89.6,40,0
1.0,1.0,1.0,19.65,23,0
0.0,0.0,0.0,83.6,72,0
0.0,0.0,1.0,84.25,55,0
0.0,0.0,0.0,111.45,48,0
0.0,0.0,0.0,74.95,1,1
0.0,0.0,0.0,97.35,36,1
0.0,0.0,0.0,69.35,11,0
0.0,0.0,0.0,84.6,1,0
0.0,0.0,0.0,98.4,53,1
0.0,0.0,1.0,51.05,70,0
0.0,0.0,1.0,95.7,12,0
0.0,0.0,0.0,94.7,22,1
0.0,0.0,0.0,69.05,55,0
0.0,0.0,0.0,64.45,28,0
1.0,1.0,0.0,19.85,58,0
1.0,0.0,1.0,19.7,19,0
0.0,0.0,0.0,95.15,19,1
0.0,0.0,0.0,72.45,31,0
0.0,0.0,0.0,89.4,13,1
1.0,1.0,0.0,20.2,1,1
0.0,1.0,0.0,70.65,1,1
0.0,0.0,0.0,73.55,18,0
1.0,1.0,1.0,19.95,13,0
1.0,1.0,1.0,20.3,2,0
0.0,0.0,0.0,64.95,70,0
1.0,0.0,0.0,19.35,44,0
1.0,1.0,0.0,20.85,4,0
0.0,0.0,0.0,76.15,65,0
0.0,0.0,1.0,99.65,71,0
0.0,0.0,1.0,53.85,64,0
0.0,1.0,0.0,92.35,28,1
0.0,0.0,0.0,96.4,16,1
0.0,0.0,0.0,114.2,70,1
0.0,0.0,0.0,81.5,39,0
0.0,0.0,0.0,45.0,19,0
0.0,0.0,0.0,104.95,60,0
0.0,0.0,1.0,90.35,51,0
0.0,0.0,1.0,110.5,56,0
0.0,0.0,0.0,105.0,66,1
0.0,0.0,0.0,55.5,58,0
0.0,0.0,1.0,59.1,69,0
0.0,1.0,0.0,56.15,27,0
0.0,0.0,0.0,48.6,1,0
1.0,1.0,0.0,20.0,6,0
0.0,0.0,0.0,25.05,7,0
0.0,0.0,0.0,69.7,8,1
0.0,1.0,0.0,69.5,15,0
1.0,1.0,0.0,20.4,9,0
0.0,0.0,0.0,67.25,12,0
0.0,1.0,0.0,71.05,25,0
0.0,0.0,0.0,81.05,28,1
0.0,0.0,0.0,100.65,49,0
0.0,0.0,0.0,44.85,57,1
1.0,1.0,1.0,20.55,11,0
0.0,0.0,0.0,95.25,37,0
0.0,0.0,0.0,101.3,40,1
0.0,0.0,0.0,45.2,54,0
0.0,0.0,0.0,85.05,12,0
0.0,1.0,0.0,55.3,4,0
0.0,0.0,1.0,103.15,66,0
0.0,0.0,0.0,59.5,70,0
0.0,0.0,0.0,74.9,1,1
0.0,0.0,1.0,103.25,58,1
0.0,0.0,0.0,86.05,47,0
0.0,0.0,0.0,78.85,4,1
0.0,1.0,1.0,59.3,57,0
0.0,0.0,0.0,94.0,15,0
0.0,0.0,0.0,89.55,24,0
1.0,0.0,1.0,19.35,20,0
0.0,1.0,1.0,98.3,61,0
0.0,0.0,0.0,49.95,16,1
0.0,0.0,0.0,97.7,72,0
0.0,1.0,0.0,39.7,14,0
0.0,0.0,0.0,46.05,2,1
0.0,0.0,0.0,91.8,64,0
1.0,0.0,1.0,19.8,30,0
0.0,0.0,1.0,89.45,64,0
0.0,0.0,0.0,111.6,61,1
0.0,0.0,1.0,84.15,50,0
0.0,0.0,1.0,94.9,47,0
0.0,0.0,1.0,59.9,51,0
0.0,0.0,0.0,91.2,37,0
0.0,0.0,1.0,97.0,64,0
0.0,0.0,0.0,60.2,60,0
1.0,1.0,0.0,20.05,1,0
0.0,1.0,0.0,81.95,14,0
0.0,0.0,0.0,76.0,1,1
0.0,0.0,0.0,88.25,17,1
0.0,0.0,1.0,104.5,63,0
1.0,0.0,0.0,26.25,72,0
0.0,0.0,1.0,100.55,29,0
0.0,1.0,1.0,61.5,18,0
0.0,0.0,1.0,70.15,38,1
1.0,0.0,1.0,19.3,26,0
0.0,0.0,1.0,104.8,70,0
0.0,0.0,0.0,79.3,7,1
1.0,0.0,1.0,20.85,22,0
0.0,0.0,1.0,54.75,25,0
0.0,0.0,1.0,39.1,33,0
0.0,0.0,0.0,95.55,27,1
0.0,0.0,0.0,74.9,15,1
1.0,1.0,1.0,24.85,41,0
0.0,0.0,1.0,95.0,38,0
0.0,0.0,0.0,89.2,44,0
1.0,1.0,0.0,19.75,66,0
1.0,0.0,0.0,20.85,19,0
0.0,0.0,0.0,90.2,17,1
0.0,0.0,0.0,74.9,7,0
0.0,0.0,1.0,71.7,21,0
0.0,0.0,0.0,94.1,61,1
0.0,0.0,0.0,50.7,4,0
0.0,0.0,1.0,75.2,58,0
0.0,0.0,1.0,55.95,21,1
1.0,1.0,0.0,19.95,60,0
1.0,0.0,0.0,25.7,43,0
0.0,0.0,0.0,85.25,36,1
0.0,0.0,0.0,55.0,57,0
0.0,0.0,0.0,54.95,24,0
0.0,0.0,0.0,105.25,68,0
0.0,0.0,0.0,94.65,72,0
0.0,1.0,1.0,39.55,9,0
0.0,0.0,0.0,79.5,66,0
0.0,0.0,0.0,73.5,8,0
0.0,1.0,1.0,103.05,50,0
0.0,1.0,0.0,75.75,10,0
0.0,0.0,0.0,30.4,54,0
0.0,0.0,0.0,79.65,1,1
0.0,0.0,0.0,108.55,71,0
0.0,0.0,0.0,101.15,4,1
0.0,0.0,0.0,54.65,33,0
0.0,0.0,0.0,86.65,10,1
0.0,0.0,0.0,49.2,72,0
1.0,1.0,0.0,20.85,1,1
1.0,0.0,0.0,25.6,67,0
0.0,0.0,0.0,80.0,22,0
0.0,0.0,1.0,96.75,62,1
0.0,0.0,0.0,41.9,21,1
0.0,0.0,0.0,111.75,68,0
0.0,0.0,0.0,98.05,7,1
0.0,0.0,0.0,79.8,58,0
0.0,0.0,0.0,83.75,23,0
1.0,0.0,0.0,23.95,71,0
0.0,0.0,1.0,86.2,41,0
0.0,0.0,0.0,56.05,0,0
0.0,1.0,0.0,62.15,61,0
0.0,1.0,0.0,99.65,46,0
1.0,1.0,0.0,20.7,6,0
0.0,0.0,0.0,94.25,7,1
0.0,0.0,0.0,73.7,21,0
0.0,0.0,0.0,95.05,13,1
0.0,0.0,0.0,83.3,22,1
0.0,0.0,0.0,69.05,26,0
0.0,1.0,0.0,42.4,4,0
1.0,0.0,0.0,19.5,63,0
0.0,0.0,0.0,79.9,5,1
1.0,0.0,0.0,19.7,6,0
0.0,0.0,0.0,94.45,55,0
0.0,0.0,1.0,76.4,51,0
0.0,0.0,1.0,68.75,56,0
1.0,1.0,1.0,20.1,18,0
0.0,0.0,0.0,105.6,72,0
0.0,0.0,0.0,49.6,19,0
0.0,0.0,0.0,96.7,22,1
0.0,1.0,1.0,35.45,41,0
1.0,1.0,0.0,19.45,5,0
0.0,0.0,0.0,74.3,57,0
0.0,0.0,0.0,101.45,29,0
0.0,0.0,1.0,93.8,33,1
0.0,0.0,0.0,97.85,72,0
0.0,0.0,0.0,88.65,31,0
0.0,0.0,1.0,104.45,52,0
1.0,0.0,1.0,20.05,35,0
1.0,1.0,0.0,19.85,7,0
0.0,1.0,0.0,54.7,22,0
0.0,0.0,0.0,74.9,6,1
0.0,0.0,0.0,37.7,60,0
1.0,1.0,1.0,20.25,24,0
0.0,0.0,0.0,73.55,31,0
0.0,0.0,0.0,85.75,26,0
0.0,1.0,0.0,69.9,1,1
1.0,1.0,0.0,19.6,40,0
1.0,0.0,0.0,20.05,10,0
1.0,1.0,0.0,19.2,70,0
0.0,1.0,0.0,55.15,3,1
0.0,0.0,0.0,85.0,46,1
0.0,0.0,1.0,110.15,59,1
0.0,0.0,0.0,70.65,48,0
1.0,1.0,0.0,19.35,59,1
0.0,0.0,0.0,30.6,29,1
1.0,0.0,0.0,19.65,8,1
1.0,1.0,0.0,19.75,9,0
0.0,0.0,1.0,58.2,8,0
0.0,0.0,0.0,89.95,28,1
0.0,0.0,1.0,76.0,20,0
0.0,0.0,1.0,104.75,56,1
0.0,0.0,0.0,40.65,49,0
0.0,1.0,0.0,88.9,5,1
0.0,0.0,0.0,90.0,18,1
0.0,0.0,0.0,90.4,71,0
0.0,1.0,0.0,89.0,20,1
0.0,0.0,1.0,42.35,40,1
0.0,1.0,0.0,60.6,18,0
1.0,1.0,1.0,20.3,38,0
0.0,0.0,1.0,105.6,67,0
0.0,0.0,0.0,55.35,17,0
0.0,0.0,0.0,35.25,1,1
1.0,0.0,0.0,25.05,68,0
0.0,0.0,0.0,83.15,35,0
0.0,0.0,0.0,75.8,3,1
0.0,0.0,0.0,90.25,8,0
0.0,0.0,1.0,70.9,29,0
0.0,0.0,0.0,34.7,2,1
0.0,0.0,0.0,73.8,53,0
0.0,0.0,0.0,25.3,1,1
0.0,0.0,0.0,75.15,7,0
1.0,0.0,0.0,20.05,4,0
0.0,0.0,0.0,76.0,29,0
0.0,0.0,0.0,75.1,3,1
0.0,1.0,0.0,25.8,1,1
0.0,1.0,1.0,35.3,7,0
0.0,0.0,1.0,111.25,52,1
0.0,0.0,0.0,91.95,72,0
0.0,0.0,0.0,96.75,55,1
1.0,0.0,0.0,19.65,1,0
1.0,1.0,0.0,19.55,6,0
1.0,1.0,0.0,20.2,29,0
0.0,0.0,0.0,48.15,42,0
0.0,0.0,1.0,40.35,30,0
0.0,1.0,0.0,50.9,1,1
0.0,0.0,0.0,86.05,72,0
0.0,0.0,0.0,50.7,4,1
0.0,0.0,0.0,24.7,1,0
0.0,0.0,0.0,68.65,1,1
0.0,1.0,0.0,74.25,1,1
0.0,0.0,0.0,80.4,62,0
0.0,0.0,0.0,101.25,15,1
1.0,1.0,0.0,19.2,1,0
1.0,0.0,0.0,20.05,68,0
0.0,0.0,0.0,75.35,7,0
0.0,0.0,0.0,88.05,72,0
0.0,0.0,0.0,86.65,72,0
0.0,0.0,0.0,94.1,30,1
0.0,0.0,0.0,84.5,1,1
0.0,0.0,1.0,41.15,39,0
0.0,0.0,1.0,92.3,62,0
0.0,0.0,1.0,108.95,53,0
0.0,0.0,1.0,104.05,66,1
0.0,0.0,0.0,88.75,59,0
0.0,0.0,0.0,95.7,15,0
0.0,0.0,0.0,95.5,9,1
0.0,1.0,1.0,30.15,32,0
0.0,1.0,0.0,64.7,17,1
0.0,0.0,0.0,55.25,55,0
0.0,1.0,0.0,25.65,17,0
0.0,0.0,1.0,87.3,69,0
0.0,0.0,0.0,74.6,66,0
0.0,0.0,0.0,74.45,16,0
0.0,0.0,0.0,80.15,70,0
1.0,1.0,1.0,19.35,50,0
1.0,1.0,0.0,20.0,3,0
0.0,0.0,0.0,65.75,17,0
0.0,1.0,0.0,96.8,20,0
1.0,0.0,0.0,19.7,71,0
0.0,0.0,0.0,105.1,34,0
1.0,0.0,0.0,25.1,43,0
0.0,0.0,1.0,101.9,50,0
0.0,0.0,1.0,101.6,41,0
0.0,0.0,0.0,79.85,54,0
1.0,0.0,0.0,19.45,64,0
0.0,1.0,0.0,54.35,31,0
0.0,0.0,0.0,78.5,11,0
0.0,0.0,0.0,85.65,4,1
0.0,1.0,0.0,53.15,21,0
1.0,0.0,0.0,24.3,35,0
0.0,0.0,1.0,99.25,58,0
1.0,1.0,0.0,20.05,20,0
1.0,1.0,0.0,25.0,60,0
1.0,0.0,1.0,20.25,41,0
0.0,0.0,0.0,51.1,15,0
0.0,1.0,0.0,44.3,1,0
0.0,0.0,0.0,99.5,66,1
0.0,0.0,0.0,69.25,1,1
0.0,0.0,0.0,44.5,2,0
0.0,0.0,0.0,84.15,32,1
0.0,0.0,0.0,78.45,72,0
0.0,0.0,1.0,96.1,62,0
0.0,0.0,0.0,79.55,9,0
0.0,0.0,0.0,86.05,4,0
0.0,0.0,0.0,82.05,30,0
0.0,0.0,0.0,104.5,40,1
1.0,1.0,1.0,20.15,33,0
0.0,0.0,1.0,80.0,63,0
1.0,0.0,1.0,19.8,64,0
0.0,0.0,0.0,96.55,5,0
1.0,0.0,0.0,20.0,7,1
0.0,1.0,0.0,79.85,10,0
0.0,0.0,0.0,100.55,63,1
0.0,0.0,0.0,39.4,20,0
0.0,0.0,1.0,84.1,38,0
0.0,0.0,1.0,108.1,66,0
0.0,0.0,0.0,91.1,13,1
0.0,1.0,0.0,66.3,24,0
0.0,0.0,0.0,104.45,23,0
0.0,1.0,0.0,91.35,32,0
0.0,0.0,1.0,60.15,51,0
1.0,1.0,0.0,19.1,40,0
0.0,1.0,0.0,59.05,22,0
0.0,0.0,0.0,70.45,1,0
0.0,0.0,0.0,89.35,6,0
1.0,1.0,0.0,19.65,1,1
1.0,0.0,1.0,20.5,4,0
0.0,0.0,0.0,105.9,60,1
0.0,0.0,0.0,64.95,72,0
0.0,0.0,1.0,60.15,42,0
0.0,1.0,0.0,62.15,2,0
0.0,0.0,0.0,60.25,69,0
0.0,0.0,0.0,86.0,2,1
0.0,0.0,0.0,36.45,1,1
0.0,0.0,0.0,66.4,31,0
1.0,1.0,0.0,20.5,16,0
1.0,1.0,0.0,19.6,15,0
0.0,0.0,0.0,94.2,2,1
0.0,0.0,0.0,92.55,17,0
0.0,1.0,0.0,94.5,6,1
0.0,0.0,0.0,59.8,61,0
1.0,1.0,0.0,19.15,1,0
0.0,0.0,1.0,87.7,19,0
0.0,0.0,0.0,54.05,44,0
0.0,0.0,0.0,111.95,70,0
1.0,1.0,0.0,25.25,63,0
0.0,1.0,1.0,44.1,58,0
0.0,0.0,1.0,74.1,53,0
0.0,0.0,0.0,44.3,59,0
0.0,0.0,1.0,104.05,69,1
0.0,0.0,0.0,49.15,26,0
0.0,0.0,1.0,57.2,23,0
0.0,0.0,0.0,54.55,42,0
0.0,1.0,0.0,50.55,1,1
0.0,0.0,0.0,47.95,6,1
1.0,1.0,0.0,20.8,58,0
0.0,0.0,0.0,101.55,3,1
1.0,1.0,0.0,19.85,41,0
0.0,0.0,1.0,61.05,58,0
0.0,0.0,0.0,93.8,51,1
0.0,0.0,0.0,111.15,64,0
1.0,1.0,0.0,25.6,19,0
0.0,0.0,0.0,79.05,60,0
0.0,0.0,0.0,114.35,69,0
0.0,0.0,0.0,80.7,3,0
0.0,1.0,0.0,95.0,7,1
0.0,0.0,0.0,73.2,19,1
0.0,0.0,0.0,77.15,1,1
1.0,0.0,0.0,23.65,62,0
0.0,0.0,0.0,49.95,1,1
0.0,0.0,0.0,73.55,1,1
0.0,0.0,0.0,59.55,28,0
0.0,1.0,0.0,92.45,69,0
0.0,1.0,0.0,79.65,30,1
0.0,0.0,0.0,39.3,40,1
1.0,1.0,0.0,19.85,1,0
0.0,0.0,0.0,100.85,45,1
0.0,1.0,1.0,78.65,22,0
1.0,0.0,0.0,20.05,47,0
1.0,1.0,0.0,20.0,2,0
0.0,0.0,0.0,35.1,13,1
1.0,0.0,0.0,18.9,20,0
1.0,1.0,0.0,19.25,48,0
0.0,0.0,1.0,100.9,67,0
0.0,0.0,0.0,99.35,70,0
0.0,0.0,0.0,99.0,64,0
0.0,0.0,0.0,97.65,34,1
0.0,0.0,0.0,90.95,72,0
0.0,0.0,0.0,69.5,23,0
0.0,0.0,0.0,89.0,15,0
0.0,0.0,0.0,101.35,22,1
0.0,1.0,1.0,70.2,41,0
0.0,0.0,0.0,82.45,68,0
0.0,0.0,1.0,106.5,70,0
0.0,0.0,0.0,86.85,71,0
0.0,0.0,0.0,85.45,71,0
0.0,1.0,0.0,44.45,1,0
0.0,0.0,0.0,55.0,1,1
1.0,1.0,0.0,20.85,3,0
0.0,0.0,0.0,93.4,40,0
0.0,0.0,0.0,50.6,3,1
1.0,1.0,0.0,26.1,67,0
0.0,0.0,0.0,75.4,18,0
1.0,1.0,0.0,20.05,20,0
0.0,0.0,0.0,74.25,3,1
0.0,0.0,0.0,116.1,71,0
0.0,0.0,0.0,34.0,25,1
0.0,0.0,0.0,90.95,32,0
1.0,1.0,0.0,20.2,46,0
1.0,0.0,0.0,19.35,68,0
0.0,0.0,0.0,79.65,48,0
0.0,0.0,0.0,70.4,2,1
0.0,0.0,1.0,93.15,56,0
0.0,0.0,0.0,78.75,5,1
0.0,0.0,0.0,74.95,3,0
0.0,0.0,1.0,92.85,64,0
0.0,1.0,0.0,90.5,47,0
0.0,1.0,0.0,67.25,63,0
1.0,0.0,0.0,19.4,27,0
0.0,0.0,0.0,70.55,47,1
1.0,0.0,0.0,24.45,59,0
1.0,1.0,0.0,18.85,4,0
0.0,0.0,0.0,114.9,72,0
0.0,1.0,1.0,55.15,13,0
0.0,0.0,1.0,108.45,66,0
1.0,1.0,1.0,20.65,42,0
1.0,0.0,0.0,19.95,10,0
0.0,1.0,0.0,74.45,15,1
0.0,0.0,0.0,95.2,45,0
0.0,0.0,1.0,73.85,48,0
0.0,0.0,0.0,25.25,1,0
0.0,0.0,0.0,76.1,27,0
1.0,1.0,0.0,19.35,5,1
0.0,1.0,1.0,86.8,23,0
0.0,0.0,0.0,75.2,11,0
0.0,0.0,0.0,102.05,35,0
0.0,0.0,1.0,88.8,67,0
0.0,0.0,1.0,74.75,33,0
0.0,0.0,0.0,114.0,72,0
0.0,0.0,1.0,109.7,67,0
1.0,1.0,0.0,20.05,33,0
0.0,1.0,1.0,58.9,47,0
0.0,0.0,0.0,98.0,13,1
0.0,0.0,0.0,83.25,18,0
0.0,0.0,0.0,112.1,72,0
0.0,0.0,0.0,89.7,11,1
0.0,0.0,0.0,44.4,7,0
0.0,0.0,0.0,99.45,59,0
0.0,0.0,0.0,100.4,32,0
1.0,0.0,0.0,25.25,67,0
0.0,0.0,1.0,87.55,51,0
0.0,0.0,1.0,94.05,59,0
0.0,1.0,0.0,39.4,48,0
0.0,0.0,0.0,70.55,1,1
1.0,0.0,1.0,19.3,23,0
0.0,0.0,0.0,94.65,38,1
1.0,1.0,1.0,19.9,19,0
0.0,0.0,0.0,76.05,3,1
0.0,0.0,0.0,98.9,58,0
0.0,0.0,0.0,50.2,2,0
0.0,0.0,0.0,75.15,5,0
0.0,0.0,0.0,101.3,72,0
0.0,0.0,1.0,109.8,44,0
1.0,1.0,0.0,19.7,16,1
0.0,0.0,0.0,50.95,12,0
0.0,0.0,0.0,89.5,6,1
0.0,0.0,0.0,108.1,72,0
1.0,0.0,1.0,24.8,23,0
0.0,0.0,1.0,70.45,38,1
0.0,0.0,1.0,95.2,47,0
1.0,0.0,0.0,20.05,54,0
0.0,0.0,0.0,68.6,15,0
0.0,0.0,0.0,94.1,20,1
0.0,0.0,0.0,73.25,16,0
0.0,0.0,0.0,69.35,1,1
0.0,0.0,0.0,24.8,1,1
1.0,0.0,0.0,19.95,46,0
0.0,0.0,0.0,97.65,69,0
0.0,0.0,0.0,84.5,49,1
0.0,0.0,1.0,54.9,53,0
1.0,1.0,1.0,19.45,7,0
0.0,0.0,0.0,50.25,42,1
0.0,1.0,0.0,50.3,17,0
0.0,1.0,0.0,81.5,2,0
0.0,0.0,1.0,104.15,72,0
1.0,1.0,0.0,20.5,28,0
0.0,0.0,0.0,50.35,1,1
0.0,0.0,0.0,86.2,15,1
0.0,0.0,1.0,107.05,67,0
0.0,0.0,0.0,99.5,11,1
0.0,0.0,0.0,103.2,56,0
0.0,1.0,0.0,55.1,22,0
0.0,0.0,0.0,34.3,19,0
1.0,1.0,0.0,19.6,44,0
0.0,0.0,0.0,35.75,10,0
0.0,0.0,0.0,71.1,18,0
1.0,1.0,0.0,19.05,30,0
0.0,0.0,0.0,35.75,26,0
0.0,0.0,0.0,109.45,58,1
0.0,1.0,0.0,29.7,1,1
0.0,1.0,0.0,66.25,9,1
0.0,0.0,1.0,82.5,50,0
0.0,0.0,1.0,30.75,46,0
0.0,1.0,0.0,44.75,3,0
0.0,0.0,0.0,51.1,11,0
0.0,1.0,0.0,70.35,37,0
0.0,0.0,0.0,54.2,22,1
1.0,0.0,0.0,25.6,67,0
1.0,1.0,0.0,20.2,1,0
0.0,1.0,0.0,56.1,19,0
0.0,0.0,0.0,74.55,9,1
0.0,0.0,0.0,98.7,70,0
0.0,1.0,0.0,50.15,1,0
0.0,0.0,0.0,41.1,39,0
0.0,0.0,0.0,70.7,2,1
0.0,1.0,0.0,43.8,49,0
0.0,0.0,0.0,64.3,7,0
0.0,1.0,0.0,45.85,1,1
0.0,0.0,0.0,101.05,61,0
0.0,0.0,0.0,42.9,1,1
0.0,0.0,0.0,91.55,40,0
1.0,0.0,0.0,24.45,71,0
0.0,1.0,0.0,89.85,24,1
0.0,0.0,0.0,50.45,14,0
0.0,0.0,0.0,94.2,61,0
0.0,0.0,1.0,74.85,44,0
1.0,0.0,0.0,19.8,70,0
0.0,0.0,0.0,74.15,18,0
0.0,0.0,0.0,73.75,12,1
0.0,0.0,1.0,107.35,66,0
1.0,0.0,0.0,20.55,61,0
0.0,0.0,0.0,85.9,42,0
0.0,0.0,1.0,94.75,54,0
1.0,0.0,0.0,20.25,3,0
0.0,0.0,1.0,53.65,69,0
1.0,1.0,0.0,19.6,3,0
0.0,0.0,0.0,74.9,7,1
1.0,0.0,0.0,19.9,57,0
0.0,0.0,0.0,74.95,14,1
0.0,0.0,1.0,41.6,11,1
1.0,1.0,1.0,19.7,4,0
0.0,1.0,1.0,94.35,43,0
0.0,0.0,1.0,74.3,62,0
0.0,0.0,0.0,96.0,12,1
1.0,0.0,0.0,20.45,11,0
0.0,1.0,0.0,59.8,19,0
0.0,0.0,1.0,106.05,44,0
0.0,0.0,0.0,78.1,11,0
0.0,0.0,0.0,80.8,72,0
0.0,0.0,0.0,104.6,43,1
1.0,1.0,0.0,19.8,3,1
0.0,0.0,0.0,80.7,5,0
0.0,0.0,0.0,29.85,2,1
0.0,0.0,1.0,85.5,68,0
0.0,0.0,0.0,94.5,33,1
0.0,1.0,0.0,35.8,11,0
0.0,0.0,0.0,89.95,69,1
0.0,0.0,0.0,105.2,66,0
0.0,1.0,0.0,75.55,29,0
0.0,0.0,0.0,44.65,8,0
0.0,0.0,0.0,64.45,72,0
0.0,0.0,0.0,45.45,8,0
0.0,0.0,1.0,104.05,32,0
1.0,1.0,0.0,20.05,56,0
0.0,0.0,0.0,80.7,10,1
0.0,1.0,1.0,61.5,44,0
0.0,0.0,0.0,83.8,23,1
0.0,1.0,0.0,48.25,4,0
0.0,0.0,0.0,51.05,36,0
0.0,0.0,0.0,83.35,47,1
0.0,1.0,0.0,30.25,2,0
1.0,0.0,1.0,20.4,52,0
0.0,0.0,0.0,90.8,5,1
